"Library\Main\Strings\Options.it-IT.resx","SymlinkpolicyLong","not-updated","Using this option to handle symlinks different. The ""{0}"" option will simply record a symlink with its name and destination, and a restore will recreate the symlink as a link. Use the option ""{1}"" to ignore all symlinks and not store any information about them. Previous versions of Duplicati used the setting ""{2}"", which will cause symlinked files to be included and restore as normal files.",""
"Library\Main\Strings\Options.it-IT.resx","SymlinkpolicyShort","not-updated","Symlink handling",""
"Library\Main\Strings\Options.it-IT.resx","VssusemappingLong","not-updated","Activate this option to map VSS snapshots to a drive (similar to SUBST, using Win32 DefineDosDevice). This will create temporary drives that are then used to access the contents of a snapshot. This workaround can speed up file access on Windows XP.",""
"Library\Main\Strings\Options.it-IT.resx","VssusemappingShort","not-updated","Map snapshots to a drive (Windows only)",""
"Library\Main\Strings\RSyncDir.it-IT.resx","InvalidRelFilenameError","not-updated","Invalid filename detected: {0}, source folders: {1}, error message: {2}",""
"Library\Main\Strings\RSyncDir.it-IT.resx","SymlinkReadError","not-updated","The symlink information for {0} could not be read: {1}",""
"Library\Utility\Strings\Utility.it-IT.resx","FormatStringB","unused","{0} bytes","{0} bytes","1354"
"Library\Utility\Strings\Utility.it-IT.resx","FormatStringGB","unused","{0:N} GB","{0:N} GB","1355"
"Library\Utility\Strings\Utility.it-IT.resx","FormatStringKB","unused","{0:N} KB","{0:N} KB","1356"
"Library\Utility\Strings\Utility.it-IT.resx","FormatStringMB","unused","{0:N} MB","{0:N} MB","1357"
"Winforms\Controls\PasswordConfirmationDialog.it-IT.resx","label1.Text","unused","Password","Password","1364"
"Winforms\Controls\PasswordConfirmationDialog.it-IT.resx","OKBtn.Text","unused","OK","OK","1365"
"Winforms\Controls\PasswordControl.it-IT.resx","TextBox.Text","unused","password","password","1367"
